id,name,class,current_verdict,github_repo,stars,stars_observed,last_commit,weekly_downloads,downloads_source,latest_publish,claude_unique_installs,claude_installs_generated_at,claude_plugin_last_updated,skillssh_installs,skillssh_skills,skillssh_observed,mcp_registry_name,mcp_registry_latest(version/updatedAt),pulsemcp_note,audit_skillssh(2026-09-17),audit_gate,last_activity,age_days,recency_mult,popularity_norm,score,popularity_band,flag
agent:codex,OpenAI Codex CLI,agent,must-have,openai/codex,124904,2026-09-17,2026-09-17,17149232,npm @openai/codex 2026-09-05..2026-09-11,2026-09-09,,,,,,,,,,,pass,2026-09-17,0,1.0,0.993,99.3,top,agree
agent:claude,Claude Code,agent,must-have,anthropics/claude-code,145797,2026-09-17,2026-09-17,10994666,npm @anthropic-ai/claude-code 2026-09-05..2026-09-11,2026-09-16,,,,,,,,,,,pass,2026-09-17,0,1.0,0.987,98.7,top,agree
marketplace:anthropic-agent-skills,anthropics/skills,marketplace,must-have,anthropics/skills,176820,2026-09-17,2026-09-10,,,,,,,3200000,21,2026-09-17,,,,pass,pass,2026-09-10,7,1.0,0.999,99.9,top,agree
marketplace:caveman,caveman marketplace,marketplace,must-have,JuliusBrussee/caveman,106223,2026-09-17,2026-09-16,,,,,,,3300000,23,2026-09-17,,,,pass,pass,2026-09-16,1,1.0,0.977,97.7,top,agree
marketplace:thedotmack,claude-mem marketplace,marketplace,optional,thedotmack/claude-mem,94105,2026-09-17,2026-09-16,21528,npm claude-mem 2026-09-05..2026-09-11,2026-09-16,,,,86300,24,2026-09-17,,,,,pass,2026-09-16,1,1.0,0.909,90.9,top,promote-candidate
marketplace:claude-plugins-official,claude-plugins-official,marketplace,must-have,anthropics/claude-plugins-official,36463,2026-09-17,2026-09-17,,,,,,,,,,,,,,pass,2026-09-17,0,1.0,0.869,86.9,top,agree
marketplace:claude-hud,claude-hud,marketplace,must-have,jarrodwatts/claude-hud,28182,2026-09-17,2026-08-28,,,,,,,,,,,,,,pass,2026-08-28,20,1.0,0.848,84.8,mid,agree
marketplace:compound-engineering-plugin,compound-engineering-plugin,marketplace,optional,EveryInc/compound-engineering-plugin,25139,2026-09-17,2026-09-15,,,,,,,119300,132,2026-09-17,,,,,pass,2026-09-15,2,1.0,0.811,81.1,mid,agree
marketplace:context-mode,context-mode,marketplace,optional,mksglu/context-mode,23334,2026-09-17,2026-09-17,,,,,,,12500,19,2026-09-17,,,,,pass,2026-09-17,0,1.0,0.738,73.8,mid,agree
marketplace:planning-with-files,planning-with-files,marketplace,optional,OthmanAdi/planning-with-files,26959,2026-09-17,2026-09-17,,,,,,,98200,7,2026-09-17,,,,Runlayer=fail,warn(Runlayer fail),2026-09-17,0,1.0,0.808,72.7,mid,agree
marketplace:claude-plugins-community,claude-plugins-community,marketplace,recommended,anthropics/claude-plugins-community,4177,2026-09-17,2026-08-24,,,,,,,,,,,,,,pass,2026-08-24,24,1.0,0.69,69.0,mid,agree
marketplace:superpowers-marketplace,superpowers-marketplace,marketplace,must-have,obra/superpowers-marketplace,1264,2026-09-17,2026-09-08,,,,,,,,,,,,,,pass,2026-09-08,9,1.0,0.591,59.1,tail,popularity-does-not-support-must-have
mcp:home-assistant,Home Assistant MCP (native),mcp,recommended,home-assistant/core,90619,2026-09-17,2026-09-17,,,,,,,,,,,,,,pass,2026-09-17,0,1.0,1.0,100.0,top,agree
mcp:playwright,Playwright MCP,mcp,recommended,microsoft/playwright-mcp,37202,2026-09-17,2026-09-14,4633135,npm @playwright/mcp 2026-09-05..2026-09-11,2026-09-14,352727,2026-09-11,2025-12-01,,,,io.github.microsoft/playwright-mcp,0.0.81/2026-09-14,#2 all-time (#1 this week); 5.5m visitors/wk,,pass,2026-09-14,3,1.0,0.967,96.7,top,agree
mcp:context7,Context7 MCP,mcp,must-have,upstash/context7,62114,2026-09-17,2026-09-17,1132952,npm @upstash/context7-mcp 2026-09-05..2026-09-11,2026-09-14,446283,2026-09-11,2026-09-08,,,,io.github.upstash/context7,4.1.1/2026-09-14,#4 (#5 this week); 1.4m/wk,,pass,2026-09-17,0,1.0,0.956,95.6,top,agree
mcp:github,GitHub MCP (remote),mcp,recommended,github/github-mcp-server,32998,2026-09-17,2026-09-16,,,,344375,2026-09-11,2025-12-01,,,,io.github.github/github-mcp-server,1.12.2/2026-09-16,#14 (#321 this week); 3.3k/wk,,pass,2026-09-16,1,1.0,0.943,94.3,top,agree
mcp:chrome-devtools,chrome-devtools-mcp,mcp,optional,ChromeDevTools/chrome-devtools-mcp,52186,2026-09-17,2026-09-17,1516489,npm chrome-devtools-mcp 2026-09-05..2026-09-11,2026-09-08,117775,2026-09-11,2026-09-08,,,,,,"2.3m/wk (mcp-servers-landscape.md, 2026-09-17)",,pass,2026-09-17,0,1.0,0.927,92.7,top,promote-candidate
mcp:serena,Serena,mcp,recommended,oraios/serena,29518,2026-09-17,2026-09-17,42977,pypistats serena-agent last_week (2026-09-17),2026-08-09,92094,2026-09-11,2025-12-01,,,,io.github.oraios/serena,1.5.3/2026-05-26,#157 (#58 this week); 43.5k/wk,,pass,2026-09-17,0,1.0,0.822,82.2,mid,agree
mcp:exa,Exa MCP,mcp,recommended,exa-labs/exa-mcp-server,5014,2026-09-17,2026-08-21,79339,npm exa-mcp-server 2026-09-05..2026-09-11,2026-08-18,,,,,,,ai.exa/exa,3.1.3/2025-12-05,,,pass,2026-08-21,27,1.0,0.741,74.1,mid,agree
mcp:grafana,Grafana MCP,mcp,recommended,grafana/mcp-grafana,3463,2026-09-17,2026-09-17,unknown,pypistats mcp-grafana: 429 rate-limited,2026-09-17,,,,,,,io.github.grafana/mcp-grafana,v1.5.0/2026-09-17,"140k/wk (mcp-servers-landscape.md, 2026-09-17)",,pass,2026-09-17,0,1.0,0.714,71.4,mid,agree
mcp:gitmcp,GitMCP,mcp,optional,idosal/git-mcp,8401,2026-09-17,2026-05-08,,,,,,,,,,,,"100k/wk (mcp-servers-landscape.md, 2026-09-17)",,pass,2026-05-08,132,0.9,0.792,71.2,mid,agree
mcp:docker-mcp-gateway,Docker MCP Gateway,mcp,recommended,docker/mcp-gateway,1570,2026-09-17,2026-09-16,,,,,,,,,,,,,,pass,2026-09-16,1,1.0,0.645,64.5,mid,agree
mcp:kubernetes,kubernetes-mcp-server,mcp,recommended,containers/kubernetes-mcp-server,2103,2026-09-17,2026-09-16,5646,npm kubernetes-mcp-server 2026-09-05..2026-09-11,2026-07-31,,,,,,,io.github.containers/kubernetes-mcp-server,0.0.66/2026-07-31,,,pass,2026-09-16,1,1.0,0.617,61.7,mid,agree
agent:opencode,OpenCode,other-agent,must-have,anomalyco/opencode,208071,2026-09-17,2026-09-17,1774358,npm opencode-ai 2026-09-05..2026-09-11,2026-09-14,,,,,,,,,,,pass,2026-09-17,0,1.0,0.993,99.3,top,agree
agent:ollama,Ollama,other-agent,recommended,ollama/ollama,181244,2026-09-17,2026-09-17,,,,,,,,,,,,,,pass,2026-09-17,0,1.0,0.989,98.9,top,agree
